,QC1.1,QC2,QC3,QUC1,QUS1,CT2_First Click,CT2_Last Click,CT2_Page Submit,CT2_Click Count,QC4_1,QC4_2,QC4_3,QC4_4,QC4_5,QC5,Q61,Q62,CT3-4_First Click,CT3-4_Last Click,CT3-4_Page Submit,CT3-4_Click Count,QC6,QC7_1,QC7_2,QC7_3,QC7_4,Q63,Q64,CT5_First Click,CT5_Last Click,CT5_Page Submit,CT5_Click Count,QC8,QC9,QC10,Q65,Q66,CT6_First Click,CT6_Last Click,CT6_Page Submit,CT6_Click Count,Q54,Q53,Q67,Q68,Duration (in seconds)
19,True,False,False,3.0,4.0,,,,,1,5,4,3,2,34,2.0,3.0,,,,,Executive,4,1,2,3,1.0,2.0,,,,,Q2,October,November-December,2.0,2.0,,,,,3rd of November,24th of November,1.0,1.0,881
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,551
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,622
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,736
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10534
24,True,False,True,1.0,1.0,,,,,1,5,4,3,2,34,1.0,1.0,,,,,Executive,4,1,3,2,4.0,5.0,,,,,Q2,February,January-February,2.0,2.0,,,,,10th of November,24th of November,1.0,1.0,457
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,506
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,602
27,True,True,False,5.0,4.0,,,,,1,3,5,4,2,34,2.0,2.0,,,,,Mid-Level,3,1,2,4,2.0,4.0,,,,,Q2,February,January-February,3.0,3.0,,,,,10th of November,29th of November,1.0,2.0,173
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,446
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1402
30,True,False,False,5.0,4.0,,,,,1,5,4,2,3,42,5.0,4.0,,,,,Executive,4,1,3,2,4.0,4.0,,,,,Q2,February,November-December,4.0,4.0,,,,,10th of November,24th of November,4.0,4.0,725
