,Q1_Accuracy,Q1_Con,Q1_Sat,Q2_Accuracy,Q2_Con,Q2_Sat,Q3_Accuracy,Q3_Con,Q3_Sat,Q4_Accuracy,Q4_Con,Q4_Sat,Q5_Accuracy,Q5_Con,Q5_Sat,Duration,Complexity
0,0.3333333333333333,3.0,4.0,0.6666666666666666,2.0,3.0,0.4,1.0,2.0,0.3333333333333333,2.0,2.0,0.5,1.0,1.0,881,Complex
1,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6,4.0,5.0,0.3333333333333333,2.0,2.0,1.0,1.0,1.0,457,Complex
2,0.0,5.0,4.0,0.3333333333333333,2.0,2.0,0.4,2.0,4.0,0.3333333333333333,3.0,3.0,0.5,1.0,2.0,173,Complex
3,0.3333333333333333,5.0,4.0,0.16666666666666666,5.0,4.0,0.6,4.0,4.0,0.3333333333333333,4.0,4.0,1.0,4.0,4.0,725,Complex
4,0.6666666666666666,2.0,4.0,0.5,5.0,4.0,0.6,2.0,2.0,0.0,1.0,2.0,0.0,,,1307,Complex
5,1.0,5.0,4.0,0.16666666666666666,2.0,3.0,0.6,5.0,4.0,0.3333333333333333,5.0,4.0,1.0,1.0,1.0,910,Complex
6,0.6666666666666666,3.0,3.0,0.5,4.0,5.0,0.0,3.0,3.0,0.0,2.0,2.0,0.5,5.0,4.0,183,Complex
7,1.0,2.0,3.0,0.0,5.0,4.0,0.6,4.0,5.0,0.3333333333333333,5.0,4.0,1.0,4.0,4.0,5280,Complex
0,1.0,3.0,3.0,0.5,4.0,4.0,0.6,4.0,4.0,0.3333333333333333,5.0,3.0,0.0,,,551,Simple
1,0.3333333333333333,5.0,2.0,0.5,1.0,4.0,0.6,4.0,5.0,0.3333333333333333,3.0,2.0,0.0,1.0,1.0,622,Simple
2,1.0,5.0,2.0,0.3333333333333333,3.0,3.0,0.6,4.0,1.0,0.3333333333333333,5.0,3.0,1.0,5.0,3.0,736,Simple
3,0.6666666666666666,5.0,3.0,0.0,3.0,3.0,0.6,4.0,5.0,0.3333333333333333,5.0,4.0,1.0,5.0,4.0,10534,Simple
4,1.0,5.0,4.0,0.5,5.0,2.0,0.6,4.0,1.0,0.0,5.0,4.0,0.5,3.0,2.0,506,Simple
5,0.6666666666666666,1.0,2.0,0.5,5.0,4.0,0.6,4.0,5.0,0.3333333333333333,2.0,3.0,1.0,4.0,5.0,602,Simple
6,0.3333333333333333,2.0,2.0,0.6666666666666666,3.0,2.0,0.6,5.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,446,Simple
7,1.0,5.0,4.0,0.5,2.0,2.0,0.6,5.0,4.0,0.0,5.0,2.0,0.5,3.0,2.0,1402,Simple
8,1.0,5.0,3.0,0.5,2.0,2.0,0.6,3.0,3.0,0.3333333333333333,5.0,4.0,1.0,5.0,4.0,529,Simple
9,1.0,5.0,3.0,0.5,1.0,1.0,0.6,5.0,3.0,0.3333333333333333,5.0,2.0,1.0,4.0,4.0,977,Simple
10,1.0,5.0,3.0,0.5,2.0,2.0,0.6,4.0,4.0,0.3333333333333333,3.0,3.0,1.0,1.0,2.0,875,Simple
11,0.6666666666666666,3.0,3.0,0.0,1.0,4.0,0.4,3.0,2.0,0.3333333333333333,5.0,3.0,1.0,5.0,4.0,647,Simple
12,1.0,4.0,2.0,0.16666666666666666,2.0,2.0,0.6,4.0,2.0,0.3333333333333333,5.0,3.0,1.0,2.0,4.0,1428,Simple
13,0.6666666666666666,5.0,3.0,0.5,5.0,4.0,0.4,4.0,1.0,0.3333333333333333,5.0,3.0,0.5,5.0,4.0,3078,Simple
14,0.3333333333333333,2.0,4.0,0.16666666666666666,5.0,4.0,0.6,3.0,4.0,0.0,5.0,4.0,1.0,3.0,3.0,659,Simple
15,1.0,2.0,4.0,0.0,1.0,4.0,0.6,4.0,5.0,0.3333333333333333,4.0,4.0,1.0,5.0,1.0,972,Simple
