,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QC1,QD1,QD2,QD3,CT1_First Click,CT1_Last Click,CT1_Page Submit,CT1_Click Count,QC1.1,QC2,QC3,QUC1,QUS1,CT2_First Click,CT2_Last Click,CT2_Page Submit,CT2_Click Count,QC4_1,QC4_2,QC4_3,QC4_4,QC4_5,QC5,Q61,Q62,CT3-4_First Click,CT3-4_Last Click,CT3-4_Page Submit,CT3-4_Click Count,QC6,QC7_1,QC7_2,QC7_3,QC7_4,Q63,Q64,CT5_First Click,CT5_Last Click,CT5_Page Submit,CT5_Click Count,QC8,QC9,QC10,Q65,Q66,CT6_First Click,CT6_Last Click,CT6_Page Submit,CT6_Click Count,Q54,Q53,Q67,Q68,ST1_First Click,ST1_Last Click,ST1_Page Submit,ST1_Click Count,QS1,QS2,QS3,Q73,Q72,ST2_First Click,ST2_Last Click,ST2_Page Submit,ST2_Click Count,QS4_1,QS4_2,QS4_3,QS4_4,QS4_5,QS5,Q76,Q75,ST3-4_First Click,ST3-4_Last Click,ST3-4_Page Submit,ST3-4_Click Count,QS6,QS7_1,QS7_2,QS7_3,QS7_4,Q78,Q77,ST5_First Click,ST5_Last Click,ST5_Page Submit,ST5_Click Count,QS8,QS9,QS10,Q74,Q79,ST6_First Click,ST6_Last Click,ST6_Page Submit,ST6_Click Count,QS11,Q52,Q80,Q81
19,2024-01-16 05:19:14,2024-01-16 05:33:55,IP Address,*******,100,881,True,2024-01-16 05:33:56,R_72uxJTbT26KJZSJ,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,Male,Masters,Engineering and Technology,,,,,True,False,False,Neither confident or unsure,Satisfied,,,,,1,5,4,3,2,34,Not confident,Neither dissatisfied or satisfied,,,,,Executive,4,1,2,3,Not confident at all,Dissatisfied,,,,,Q2,October,November-December,Not confident,Dissatisfied,,,,,3rd of November,24th of November,Not confident at all,Very dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2024-01-16 05:57:58,2024-01-16 06:07:10,IP Address,*******,100,551,True,2024-01-16 06:07:11,R_1xlLKSLVgimtnPj,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,Male,Masters,Natural Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,Neither confident or unsure,Neither dissatisfied or satisfied,,,,,1,5,4,3,2,68,Confident,Satisfied,,,,,Executive,4,1,3,2,Confident,Satisfied,,,,,Q2,October,January-February,Somewhat confident,Neither dissatisfied or satisfied,,,,,,,,
21,2024-01-16 05:58:26,2024-01-16 06:08:48,IP Address,*******,100,622,True,2024-01-16 06:08:49,R_6nZIlRrs9aUGKHL,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,Male,Masters,Engineering and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,Somewhat confident,Dissatisfied,,,,,1,5,4,3,2,40,Not confident at all,Satisfied,,,,,Executive,4,1,3,2,Confident,Very satisfied,,,,,Q2,February,November-December,Neither confident or unsure,Dissatisfied,,,,,3rd of November,8th of November,Not confident at all,Very dissatisfied
22,2024-01-16 06:31:46,2024-01-16 06:44:03,IP Address,*******,100,736,True,2024-01-16 06:44:03,R_7PplWzAG0igeOml,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,Male,Bachelors,Natural Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,Somewhat confident,Dissatisfied,,,,,1,4,5,3,2,40,Neither confident or unsure,Neither dissatisfied or satisfied,,,,,Executive,4,1,3,2,Confident,Very dissatisfied,,,,,Q2,February,November-December,Somewhat confident,Neither dissatisfied or satisfied,,,,,10th of November,24th of November,Somewhat confident,Neither dissatisfied or satisfied
23,2024-01-16 05:21:40,2024-01-16 08:17:14,IP Address,*******,100,10534,True,2024-01-16 08:17:15,R_2nipTYf8mhH2Yus,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,Non-binary / third gender,Masters,Natural Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,Somewhat confident,Neither dissatisfied or satisfied,,,,,,,,,,26,Neither confident or unsure,Neither dissatisfied or satisfied,,,,,Executive,4,1,3,2,Confident,Very satisfied,,,,,Q2,February,November-December,Somewhat confident,Satisfied,,,,,10th of November,24th of November,Somewhat confident,Satisfied
24,2024-01-16 09:26:32,2024-01-16 09:34:10,IP Address,*******,100,457,True,2024-01-16 09:34:11,R_1dy2jAJUx1DgK6R,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,Yes,Male,Masters,Natural Sciences,,,,,True,False,True,Not confident at all,Very dissatisfied,,,,,1,5,4,3,2,34,Not confident at all,Very dissatisfied,,,,,Executive,4,1,3,2,Confident,Very satisfied,,,,,Q2,February,January-February,Not confident,Dissatisfied,,,,,10th of November,24th of November,Not confident at all,Very dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,2024-01-16 09:27:48,2024-01-16 09:36:15,IP Address,*******,100,506,True,2024-01-16 09:36:15,R_2esfOQZiXvHpgod,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,Male,Masters,Engineering and Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,Somewhat confident,Satisfied,,,,,1,5,4,3,2,68,Somewhat confident,Dissatisfied,,,,,Executive,4,1,3,2,Confident,Very dissatisfied,,,,,Q1,October,January-February,Somewhat confident,Satisfied,,,,,10th of November,29th of November,Neither confident or unsure,Dissatisfied
26,2024-01-17 03:09:03,2024-01-17 03:19:06,IP Address,*******,100,602,True,2024-01-17 03:19:06,R_2z5zMoIKEHtkx0S,*******,*******,*******,*******,*******,*******,anonymous,EN,0.800000011920929,Yes,Female,Masters,Natural Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,Not confident at all,Dissatisfied,,,,,1,5,4,3,2,40,Somewhat confident,Satisfied,,,,,Executive,4,1,3,2,Confident,Very satisfied,,,,,Q2,February,January-February,Not confident,Neither dissatisfied or satisfied,,,,,10th of November,24th of November,Confident,Very satisfied
27,2024-01-17 03:25:49,2024-01-17 03:28:42,IP Address,*******,100,173,True,2024-01-17 03:28:43,R_6QE4FQzYCk4GaNV,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,Male,Masters,Engineering and Technology,,,,,True,True,False,Somewhat confident,Satisfied,,,,,1,3,5,4,2,34,Not confident,Dissatisfied,,,,,Mid-Level,3,1,2,4,Not confident,Satisfied,,,,,Q2,February,January-February,Neither confident or unsure,Neither dissatisfied or satisfied,,,,,10th of November,29th of November,Not confident at all,Dissatisfied,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2024-01-17 03:25:40,2024-01-17 03:33:06,IP Address,*******,100,446,True,2024-01-17 03:33:06,R_5IGX6rHpxzyVRGc,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,Female,Masters,Natural Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,Not confident,Dissatisfied,,,,,1,5,4,3,2,34,Neither confident or unsure,Dissatisfied,,,,,Executive,4,1,3,2,Somewhat confident,Dissatisfied,,,,,Q3,October,November-December,Not confident at all,Very dissatisfied,,,,,10th of November,24th of November,Not confident at all,Dissatisfied
